# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
    0     28     58      -     14      2      0      0      0      0    405    210      0      0   2806  32740      -      -      -      0      0      0 
    1     18     59      -      9      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     27     58      -      5      0      0      0      0      0    405    210      0      0   2806  32740      -      -      -      0      0      0 
    1     18     59      -      9      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     27     58      -      9      1      0      0      0      0    405    210      0      0   2806  32740      -      -      -      0      0      0 
    1     18     59      -      9      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     27     58      -      3      0      0      0      0      0    405    210      0      0   2806  32740      -      -      -      0      0      0 
    1     18     59      -      9      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     27     58      -     14      2      0      0      0      0    405    210      0      0   2806  32740      -      -      -      0      0      0 
    1     18     59      -      9      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     72     59      -      2      0      0      0      0      0  10251   2520      0      0   3190  32740      -      -      -      0      0      0 
    1     18     59      -      2      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     59     59      -      3      0      0      0      0      0    810    540      0      0   3192  32740      -      -      -      0      0      0 
    1     19     59      -      9      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     27     59      -      4      0      0      0      0      0    405    210      0      0   3254  32740      -      -      -      0      0      0 
    1     19     59      -      8      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
    0     27     59      -     10      1      0      0      0      0    405    210      0      0   3254  32740      -      -      -      0      0      0 
    1     18     59      -      8      0      0      0      0      0    405    210      0      0    563  32740      -      -      -      0      0      0 
